# SWF viewer marks, edited from swf.html
# impression: I have an impression of it from the game; favorite: I'll revisit it
# marks	sha256	file	element
impression	f14941d0179ec18d	七色花任务（经典）丨sevenflowers.swf	
impression	f14941d0179ec18d	七色花任务（经典）丨sevenflowers.swf	#103 mmo.sevenflowers.TaskPanel
impression	f14941d0179ec18d	七色花任务（经典）丨sevenflowers.swf	#159 mmo.sevenflowers.SuccessPanel
impression	d59e839da3600cad	变异动物图鉴/spriteforest4~0.swf	
impression	142c446377ba826a	变异动物图鉴/spriteforest5~0.swf	
impression	2ad4721b335e36b4	变异动物图鉴/spriteforest6~0.swf	
impression,favorite	2d51cac2e789f89b	另一收集（北哥丨凌顾北）/oldcave.swf	
impression	31cfd8a62addc5a9	天赋检测之后丨task_afftergeniuscheck.swf	#110 mmo.scene.foresthouse.geniuscheck.CheckTwice
impression,favorite	35b68c365434cf4e	奥比岛UI/2013年ui.swf	
impression	22a33ec0742efb3a	奥比岛UI/2013年登录界面丨user_login.swf	#389 S2
impression	23ef6c47c1ca46e1	奥比岛UI/control.swf	#172 mmo.user.info.MyInfo
impression,favorite	23ef6c47c1ca46e1	奥比岛UI/control.swf	#756 mmo.control.ControlBar
impression	5e464647234e7a0b	奥比岛UI/topicons/topicons (1).swf	#46 mmo.framework.task.AllTaskIconButton
impression	7563b541dd44a7cd	奥比岛UI/养殖图标丨yzcommon.swf	#145 mmo.yz.common.yzplant.OperatePanel
impression	7563b541dd44a7cd	奥比岛UI/养殖图标丨yzcommon.swf	#146 mmo.yz.common.InsectIcon
impression	7563b541dd44a7cd	奥比岛UI/养殖图标丨yzcommon.swf	#157 mmo.yz.common.yzplant.ReapMovie
impression	7563b541dd44a7cd	奥比岛UI/养殖图标丨yzcommon.swf	#184 mmo.yz.common.yzplant.HitShrewMouseMovie
impression	18bc1e4ec89372ad	奥比岛UI/回收家具图标（现）丨houseinterfaces.swf	#29 mmo.housedesign.StopSignView
impression	18bc1e4ec89372ad	奥比岛UI/回收家具图标（现）丨houseinterfaces.swf	#31 mmo.housedesign.RecycleBoxView
impression	b677408ab35c8815	奥比岛UI/好友列表丨buddylist.swf	#171 mmo.buddylist.buddylist.BuddyList
impression,favorite	b0956b7ded75ed9e	奥比岛UI/家园UI（经典版）丨houseimp.swf	#47 houseimp_fla.GardenTabList_133
impression,favorite	b0956b7ded75ed9e	奥比岛UI/家园UI（经典版）丨houseimp.swf	#73 houseimp_fla.FarmCard1_116
impression,favorite	b0956b7ded75ed9e	奥比岛UI/家园UI（经典版）丨houseimp.swf	#78 mmo.houseimp.CatalogBtn
impression	b0956b7ded75ed9e	奥比岛UI/家园UI（经典版）丨houseimp.swf	#148 mmo.houseimp.NeighborPanel
impression,favorite	f8784b553510261f	奥比岛UI/家园设计（经典）丨housedesign.swf	#241 mmo.housedesign.HouseDesigner
impression	1d8585164cd696b7	奥比岛UI/形象卡丨资料卡/形象卡（经典）丨avatar.swf	#655 mmo.avatar.OtherUserCard
impression,favorite	1d8585164cd696b7	奥比岛UI/形象卡丨资料卡/形象卡（经典）丨avatar.swf	#747 mmo.avatar.call.CallPetPanel
impression,favorite	06a08aedbb8d8f0c	妖精森林丨party5.swf	
impression,favorite	8e66ce5fe191422c	宝石大厦丨businessmansion.swf	
impression	ef5fb1bb67f412d1	小奥比孵精灵蛋动作（动画）.swf	
impression	c13d223cce8b084d	小精灵衣服/skinviewold100209~0.swf	#9 p30120091202_F
impression	c13d223cce8b084d	小精灵衣服/skinviewold100209~0.swf	#83 p30120090601_F
impression	c13d223cce8b084d	小精灵衣服/skinviewold100209~0.swf	#101 p10420080802_F
impression	c13d223cce8b084d	小精灵衣服/skinviewold100209~0.swf	#147 p30120090611_F
impression	c13d223cce8b084d	小精灵衣服/skinviewold100209~0.swf	#250 p30120100104_F
impression	c13d223cce8b084d	小精灵衣服/skinviewold100209~0.swf	#259 p30120100102_F
impression	c13d223cce8b084d	小精灵衣服/skinviewold100209~0.swf	#762 PetActionSymbol61_B
impression	c13d223cce8b084d	小精灵衣服/skinviewold100209~0.swf	#771 PetActionSymbol60_B
impression	c13d223cce8b084d	小精灵衣服/skinviewold100209~0.swf	#818 PetActionSymbol50_B
impression	c13d223cce8b084d	小精灵衣服/skinviewold100209~0.swf	#913 PetActionSymbol33_B
impression	c13d223cce8b084d	小精灵衣服/skinviewold100209~0.swf	#918 PetActionSymbol29_B
impression	c13d223cce8b084d	小精灵衣服/skinviewold100209~0.swf	#920 PetActionSymbol31_B
impression	c13d223cce8b084d	小精灵衣服/skinviewold100209~0.swf	#922 PetActionSymbol30_B
impression	c13d223cce8b084d	小精灵衣服/skinviewold100209~0.swf	#931 PetActionSymbol32_B
impression	c13d223cce8b084d	小精灵衣服/skinviewold100209~0.swf	#937 PetActionSymbol28_B
impression	c13d223cce8b084d	小精灵衣服/skinviewold100209~0.swf	#944 PetActionSymbol27_B
impression	c13d223cce8b084d	小精灵衣服/skinviewold100209~0.swf	#948 PetActionSymbol26_B
impression	c13d223cce8b084d	小精灵衣服/skinviewold100209~0.swf	#951 PetActionSymbol25_B
impression	c13d223cce8b084d	小精灵衣服/skinviewold100209~0.swf	#974 PetActionSymbol20_B
impression	c13d223cce8b084d	小精灵衣服/skinviewold100209~0.swf	#978 PetActionSymbol18_B
impression	c13d223cce8b084d	小精灵衣服/skinviewold100209~0.swf	#983 PetActionSymbol16_B
impression	c13d223cce8b084d	小精灵衣服/skinviewold100209~0.swf	#990 PetActionSymbol13_B
impression	c13d223cce8b084d	小精灵衣服/skinviewold100209~0.swf	#996 PetActionSymbol2_B
impression	685e985ae37c8890	小精灵衣服/skinviewold100903~0.swf	#288 w30120100708_F
impression	685e985ae37c8890	小精灵衣服/skinviewold100903~0.swf	#605 PetActionSymbol186_B
impression	685e985ae37c8890	小精灵衣服/skinviewold100903~0.swf	#612 PetActionSymbol185_B
impression	685e985ae37c8890	小精灵衣服/skinviewold100903~0.swf	#742 w30120100511_F
impression	685e985ae37c8890	小精灵衣服/skinviewold100903~0.swf	#757 w30120100509_F
impression	685e985ae37c8890	小精灵衣服/skinviewold100903~0.swf	#812 w30120100503_F
impression	685e985ae37c8890	小精灵衣服/skinviewold100903~0.swf	#833 w30120100501_F
impression	685e985ae37c8890	小精灵衣服/skinviewold100903~0.swf	#986 PetActionSymbol151_B
impression	685e985ae37c8890	小精灵衣服/skinviewold100903~0.swf	#989 PetActionSymbol150_B
impression	685e985ae37c8890	小精灵衣服/skinviewold100903~0.swf	#992 PetActionSymbol149_B
impression	685e985ae37c8890	小精灵衣服/skinviewold100903~0.swf	#1019 w30120091207_F
impression	685e985ae37c8890	小精灵衣服/skinviewold100903~0.swf	#1022 w30120091206_F
impression	685e985ae37c8890	小精灵衣服/skinviewold100903~0.swf	#1025 w30120091205_F
impression	685e985ae37c8890	小精灵衣服/skinviewold100903~0.swf	#1028 w30120091204_F
impression	685e985ae37c8890	小精灵衣服/skinviewold100903~0.swf	#1033 w30120091203_F
impression	685e985ae37c8890	小精灵衣服/skinviewold100903~0.swf	#1039 w30120091201_F
impression	ffb1f939f300b0d6	小精灵衣服/skinviewold110705~0.swf	#651 w30120101003_F
impression	ffb1f939f300b0d6	小精灵衣服/skinviewold110705~0.swf	#745 w30120100907_F
impression	75d50e8932804cfe	山洞丨cave.swf	
impression,favorite	83570c2ef6ac1f11	幸运屋.swf	
impression	83570c2ef6ac1f11	幸运屋.swf	#47 mmo.scene.luckyhouse.LotteryBar
impression	874944b68a0515a3	收集物/gather_gathericon1.swf	#2 mmo.gather.Material50
impression	874944b68a0515a3	收集物/gather_gathericon1.swf	#4 mmo.gather.Material49
impression	874944b68a0515a3	收集物/gather_gathericon1.swf	#6 mmo.gather.Material48
impression	874944b68a0515a3	收集物/gather_gathericon1.swf	#14 mmo.gather.Material37
impression	874944b68a0515a3	收集物/gather_gathericon1.swf	#20 mmo.gather.Material34
impression	874944b68a0515a3	收集物/gather_gathericon1.swf	#54 mmo.gather.Material26
impression	874944b68a0515a3	收集物/gather_gathericon1.swf	#75 mmo.gather.Material21
impression	874944b68a0515a3	收集物/gather_gathericon1.swf	#77 mmo.gather.Material20
impression	874944b68a0515a3	收集物/gather_gathericon1.swf	#79 mmo.gather.Material19
impression	874944b68a0515a3	收集物/gather_gathericon1.swf	#91 mmo.gather.Material13
impression	874944b68a0515a3	收集物/gather_gathericon1.swf	#95 mmo.gather.Material11
impression	874944b68a0515a3	收集物/gather_gathericon1.swf	#102 mmo.gather.Material10
impression	874944b68a0515a3	收集物/gather_gathericon1.swf	#104 mmo.gather.Material9
